potential_originators,actual_creators,constructive_posts,toxic_posts,support_posts,oppose_posts,avg_exposure_size,mean_opinion,std_opinion,opinion_variance,extremist_ratio,homophily_ratio,sign_modularity,edge_count,round
125,72,14,58,31,41,2.77,-0.029224148712297754,0.40657500295482696,0.1648899749451484,0.0775,0.5563665855636658,0.03521223271878873,1233,1
133,89,18,71,8,81,3.6425,-0.03788008905901087,0.4440382372748128,0.19667703127171776,0.09,0.5916271721958926,0.0481831065759637,1266,2
148,138,3,135,1,137,6.6325,-0.04262147517551406,0.49826287892193294,0.24764523177029404,0.115,0.6186567164179104,0.04350739019357604,1340,3
164,164,0,164,0,164,7.43,-0.047614735159615194,0.5528453249215719,0.3048738584044195,0.1475,0.621505376344086,0.020641503051231955,1395,4
146,146,0,146,0,146,6.6925,-0.053051703551979676,0.5994956730560594,0.35849657435790516,0.22,0.6170952050034746,0.002910711864818352,1439,5
184,184,0,184,0,184,7.67,-0.05816838871692183,0.6452346596061586,0.4152869465421823,0.3075,0.6168478260869565,-0.00497781635802462,1472,6
162,162,0,162,0,162,7.5075,-0.06314075466133678,0.6850108110765251,0.46806671176348913,0.4325,0.6329537843268587,-0.004173535889316647,1493,7
175,175,0,175,0,175,6.8325,-0.06793858865981571,0.7178270096020973,0.5139874266750035,0.575,0.6343940419769803,-0.010097819710013022,1477,8
175,175,0,175,0,175,7.6225,-0.07235673006353623,0.7491783424735238,0.5598650183592984,0.7575,0.6313333333333333,-0.01896914845173045,1500,9
157,157,0,157,0,157,7.37,-0.07655876128408506,0.7764678495311256,0.6013950655521021,0.8675,0.6338400528750826,-0.019756024118506806,1513,10
162,162,0,162,0,162,6.6775,-0.08058393846030358,0.7987106310528265,0.6363438254764128,0.9225,0.6286279683377308,-0.026318480642804953,1516,11
168,168,0,168,0,168,7.4425,-0.08428017237420071,0.819828088626116,0.6704377996631001,0.935,0.6298744216787838,-0.029813970226423216,1513,12
186,186,0,186,0,186,7.6275,-0.08761884559491971,0.8384502680578586,0.7012413548762786,0.94,0.6308503625576797,-0.03283879471956613,1517,13
163,163,0,163,0,163,7.7325,-0.09081983007262194,0.8549924620538571,0.7291845798934934,0.94,0.6284970722186076,-0.03409188513934794,1537,14
162,162,0,162,0,162,7.6675,-0.09379570982033326,0.8693271804441925,0.7538404222924017,0.9425,0.6287581699346405,-0.03686858097270831,1530,15
166,166,0,166,0,166,7.5125,-0.09648771960781861,0.8815848387306711,0.7752488483100837,0.945,0.616580310880829,-0.04376152122367706,1544,16
165,165,0,165,0,165,7.48,-0.09900772997816532,0.8922662780115962,0.7941487630994757,0.945,0.6126760563380281,-0.047694695927103244,1562,17
163,163,0,163,0,163,7.4975,-0.10125164655392442,0.901576182657554,0.8108075141025287,0.945,0.6075619295958279,-0.05027539878389061,1534,18
164,164,0,164,0,164,7.67,-0.10329077178431988,0.9098556867959304,0.8257677773679067,0.945,0.5973770491803279,-0.05377031553098288,1525,19
179,179,0,179,0,179,7.605,-0.10514992978389992,0.9169446201479612,0.8386854678272436,0.945,0.5982792852415619,-0.05470521541950125,1511,20
185,185,0,185,0,185,7.6475,-0.10683538805948502,0.9231402451821803,0.8500574424943284,0.945,0.5953020134228187,-0.0596930479170939,1490,21
168,168,0,168,0,168,7.1925,-0.10834508238140356,0.9283396774209243,0.8596600202823009,0.945,0.5976485956890921,-0.05682188817743078,1531,22
173,173,0,173,0,173,7.3175,-0.1097117062585291,0.9329420310390284,0.8682048811960292,0.945,0.6023622047244095,-0.05366776578361948,1524,23
204,204,0,204,0,204,7.4475,-0.11095860204232263,0.9369732816755233,0.8757241332473646,0.945,0.6146728354263054,-0.04584238852657918,1513,24
154,154,0,154,0,154,7.135,-0.1120764508130696,0.9404611546822537,0.8822560155076125,0.945,0.6095110515740121,-0.042852358022809706,1493,25
179,179,0,179,0,179,7.5325,-0.11311372997688574,0.9436173314379445,0.8881876340195916,0.945,0.6115107913669064,-0.039209045015402885,1529,26
180,180,0,180,0,180,7.6675,-0.11403717375099681,0.9463964634332503,0.8934271003339656,0.945,0.6122448979591837,-0.039842323021889184,1470,27
202,202,0,202,0,202,7.775,-0.11488512045581045,0.9488581635021787,0.8980809849086161,0.945,0.6111878453038674,-0.044465337575937465,1448,28
180,180,0,180,0,180,6.89,-0.11561858044282257,0.9508226612141264,0.9018035737456179,0.945,0.6171232876712329,-0.04259855703191061,1460,29
178,178,0,178,0,178,6.1875,-0.1162677532272716,0.9524485449376207,0.9048903351769059,0.945,0.6150740242261103,-0.04056561903629634,1486,30
154,154,0,154,0,154,7.4075,-0.11687947863484371,0.9540751327843126,0.907983710599911,0.945,0.6275720164609053,-0.0415861702491183,1458,31
167,167,0,167,0,167,7.1275,-0.11743307070240966,0.9554616950830849,0.9106247831441141,0.945,0.6049046321525886,-0.05248531868995439,1468,32
177,177,0,177,0,177,7.7025,-0.1179413528188504,0.9567469588784245,0.9130763314648058,0.945,0.6106254203093476,-0.047343000217060754,1487,33
160,160,0,160,0,160,7.4625,-0.11839045028821364,0.9578425638145639,0.9151687211122196,0.945,0.606612685560054,-0.04965172042990071,1482,34
188,188,0,188,0,188,7.72,-0.11880048892201862,0.9588246350919332,0.9170463191570315,0.945,0.6093853271645737,-0.050440400621460074,1513,35
175,175,0,175,0,175,7.7375,-0.11916654097543244,0.9596825704998374,0.9186881595308725,0.945,0.604,-0.052271128206276676,1500,36
174,174,0,174,0,174,7.75,-0.11949464459282017,0.9604313926518092,0.9201223888411164,0.945,0.601063829787234,-0.05168303913081668,1504,37
172,172,0,172,0,172,7.4025,-0.11978563917095349,0.9610669379025502,0.9213405349815602,0.945,0.6060407091267236,-0.04959183876793548,1523,38
180,180,0,180,0,180,7.5425,-0.12004506171540127,0.9616264831327397,0.9224136793295853,0.945,0.6032894736842105,-0.05124497053365872,1520,39
180,180,0,180,0,180,7.2775,-0.12027248535937612,0.9621032169409536,0.9233284935480114,0.945,0.5954098360655737,-0.05721225860022973,1525,40
167,167,0,167,0,167,7.73,-0.12048308776708616,0.9625437649831867,0.9241742732592383,0.945,0.5990932642487047,-0.05453383516738228,1544,41
184,184,0,184,0,184,7.3125,-0.12066713397353464,0.9629127708789129,0.9248830018109016,0.945,0.599344262295082,-0.05874811016254293,1525,42
171,171,0,171,0,171,7.215,-0.12083086431279792,0.9632352466272903,0.925502584994274,0.945,0.6041531473069436,-0.05456799999999998,1541,43
161,161,0,161,0,161,6.7675,-0.12097420879543737,0.9635084538975488,0.9260276693802141,0.945,0.6109677419354839,-0.04810486255470491,1550,44
169,169,0,169,0,169,7.1975,-0.12110794590018141,0.9637600480575961,0.9265113466563994,0.945,0.6148055207026348,-0.042762299999709846,1594,45
175,175,0,175,0,175,7.75,-0.12123047448956684,0.9639934755303259,0.9269602123128745,0.945,0.6043343653250774,-0.049207637769473615,1615,46
175,175,0,175,0,175,7.6,-0.1213386714484534,0.9641929273126573,0.9273438310770523,0.945,0.6070763500931099,-0.04522519034453379,1611,47
161,161,0,161,0,161,7.7275,-0.12143711145596497,0.964372213838997,0.9276887324076664,0.945,0.6170347003154574,-0.0441958173373782,1585,48
182,182,0,182,0,182,7.7775,-0.12152458918454183,0.9645290385623133,0.9279904755643656,0.945,0.6104468219005664,-0.04868326682998489,1589,49
175,175,0,175,0,175,7.625,-0.12160186165483612,0.964664259999726,0.9282506916845162,0.945,0.6089204912734324,-0.048599901579097035,1547,50
195,195,0,195,0,195,7.7825,-0.12167201271626854,0.9647852431940208,0.9284835390712334,0.945,0.609961190168176,-0.04634782316202955,1546,51
178,178,0,178,0,178,7.67,-0.12173374840064205,0.9648893802393057,0.9286839873083449,0.945,0.6089204912734324,-0.045622637338921405,1547,52
178,178,0,178,0,178,7.2525,-0.12178796538092243,0.964978273044703,0.9288551097797167,0.945,0.6133757961783439,-0.0455099833288753,1570,53
186,186,0,186,0,186,7.775,-0.12183828201380806,0.9650610257095864,0.929014426385279,0.945,0.618429591174562,-0.04477512374237634,1541,54
162,162,0,162,0,162,7.4425,-0.12188266022298964,0.9651319674441593,0.9291510152961768,0.945,0.62,-0.04486723314797471,1550,55
166,166,0,166,0,166,7.1525,-0.1219215751504978,0.9651931980212114,0.9292689147326471,0.945,0.6193181818181818,-0.045924781985961186,1584,56
180,180,0,180,0,180,7.66,-0.12195719569815944,0.9652490284779414,0.9293764227601653,0.945,0.610969387755102,-0.04846874361225012,1568,57
185,185,0,185,0,185,7.8025,-0.12198964137180919,0.9652991630599972,0.9294729680188208,0.945,0.6060606060606061,-0.053018736499940176,1551,58
179,179,0,179,0,179,7.57,-0.12201814094121463,0.9653424118858911,0.9295562572552055,0.945,0.6132198952879581,-0.05029844490692556,1528,59
194,194,0,194,0,194,7.71,-0.12204364105880221,0.9653807617062657,0.9296301150348882,0.945,0.6090373280943026,-0.046966610602945366,1527,60
