seed,involvement_threshold,final_mean_opinion,final_std_opinion,final_opinion_variance,final_extremist_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
42,0.1,-0.12204364105880221,0.9653807617062657,0.9296301150348882,0.945,0.6090373280943026,0.39096267190569745,-0.046966610602945366,1527
43,0.1,0.034012596258289854,0.9890588078529503,0.9757917320780194,0.9775,0.5099793530626291,0.4900206469373709,-0.07178920501596192,1453
44,0.1,-0.17977846285864962,0.9597759115346243,0.9188668758612133,0.9525,0.6734104046242775,0.3265895953757225,-0.04357682455501076,1384
42,0.3,-0.29324815511693514,0.8124407384524491,0.6584098036134184,0.7375,0.5979247730220493,0.40207522697795073,-0.06275651897180692,1542
43,0.3,-0.1785507250749241,0.8337980712812134,0.6934811756130904,0.715,0.49727891156462584,0.5027210884353741,-0.07925950038580246,1470
44,0.3,-0.34753414293082086,0.7990369743741584,0.636863936200967,0.7525,0.6434163701067616,0.35658362989323844,-0.0560584532809799,1405
42,0.5,-0.357625528681142,0.7244416195400907,0.5235036209715649,0.63,0.6130653266331658,0.3869346733668342,-0.047010716450508694,1592
43,0.5,-0.26932422612058615,0.7274426921553049,0.5278499381942322,0.5675,0.5035919540229885,0.4964080459770115,-0.07638499719256411,1392
44,0.5,-0.4102908472037475,0.71050006337351,0.5035483142036276,0.6525,0.65625,0.34375,-0.05483930211202943,1344
42,0.7,-0.38772803224136254,0.6747735473441469,0.4541810418449151,0.56,0.6130653266331658,0.3869346733668342,-0.047010716450508694,1592
43,0.7,-0.29660752549144387,0.6857550780839204,0.46908437705008876,0.5,0.5035919540229885,0.4964080459770115,-0.07638499719256411,1392
44,0.7,-0.43982724406176055,0.6631277388671645,0.4386390520599399,0.5925,0.6601503759398496,0.3398496240601504,-0.04872515106233982,1330
42,0.9,-0.39335560391010715,0.6640418843792465,0.43984924514941626,0.56,0.6130653266331658,0.3869346733668342,-0.047010716450508694,1592
43,0.9,-0.3018790585169151,0.676718171753492,0.4568026152714353,0.5,0.5035919540229885,0.4964080459770115,-0.07638499719256411,1392
44,0.9,-0.44380513067418037,0.6552374891918635,0.4282628268243517,0.5875,0.6601503759398496,0.3398496240601504,-0.04872515106233982,1330
